id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
230422,2024-03-11 01:49:53.341326,6.4,3.2,4.5,1.5,1
230421,2024-03-11 01:49:52.331025,6.8,2.8,4.8,1.4,1
230420,2024-03-11 01:49:51.313663,6.9,3.1,5.1,2.3,2
230419,2024-03-11 01:49:50.304243,6.0,3.0,4.8,1.8,2
230418,2024-03-11 01:49:49.297199,4.8,3.0,1.4,0.1,0
230417,2024-03-11 01:49:48.287928,5.7,3.8,1.7,0.3,0
230416,2024-03-11 01:49:47.277683,7.7,2.8,6.7,2.0,2
230415,2024-03-11 01:49:46.265212,5.7,3.0,4.2,1.2,1
230414,2024-03-11 01:49:45.252740,5.1,3.5,1.4,0.2,0
230413,2024-03-11 01:49:44.242471,5.8,2.7,4.1,1.0,1
230412,2024-03-11 01:49:43.232409,5.5,4.2,1.4,0.2,0
230411,2024-03-11 01:49:42.226226,6.1,2.9,4.7,1.4,1
230410,2024-03-11 01:49:41.214077,6.5,2.8,4.6,1.5,1
230409,2024-03-11 01:49:40.204963,5.7,4.4,1.5,0.4,0
230408,2024-03-11 01:49:39.194227,4.9,3.6,1.4,0.1,0
230407,2024-03-11 01:49:38.178830,6.7,3.1,5.6,2.4,2
230406,2024-03-11 01:49:37.174252,5.9,3.2,4.8,1.8,1
230405,2024-03-11 01:49:36.161387,4.7,3.2,1.3,0.2,0
230404,2024-03-11 01:49:35.155250,6.9,3.1,5.4,2.1,2
230403,2024-03-11 01:49:34.148701,6.7,3.0,5.0,1.7,1
230402,2024-03-11 01:49:33.140571,6.4,3.2,5.3,2.3,2
230401,2024-03-11 01:49:32.131441,6.0,2.9,4.5,1.5,1
230400,2024-03-11 01:49:31.127209,6.0,2.7,5.1,1.6,1
230399,2024-03-11 01:49:30.116802,5.5,3.5,1.3,0.2,0
230398,2024-03-11 01:49:29.110584,7.7,3.0,6.1,2.3,2
230397,2024-03-11 01:49:28.108228,7.3,2.9,6.3,1.8,2
230396,2024-03-11 01:49:27.104551,4.8,3.4,1.6,0.2,0
230395,2024-03-11 01:49:26.094965,5.5,3.5,1.3,0.2,0
230394,2024-03-11 01:49:25.087741,6.5,3.2,5.1,2.0,2
230393,2024-03-11 01:49:24.078011,6.1,2.6,5.6,1.4,2
230392,2024-03-11 01:49:23.069338,6.9,3.1,5.1,2.3,2
230391,2024-03-11 01:49:22.061283,5.7,4.4,1.5,0.4,0
230390,2024-03-11 01:49:21.057470,5.1,3.3,1.7,0.5,0
230389,2024-03-11 01:49:20.052526,5.7,2.5,5.0,2.0,2
230388,2024-03-11 01:49:19.048712,4.6,3.4,1.4,0.3,0
230387,2024-03-11 01:49:18.040568,6.8,3.2,5.9,2.3,2
230386,2024-03-11 01:49:17.027954,5.7,3.8,1.7,0.3,0
230385,2024-03-11 01:49:16.018158,4.6,3.6,1.0,0.2,0
230384,2024-03-11 01:49:15.005982,5.4,3.4,1.5,0.4,0
230383,2024-03-11 01:49:13.991472,5.1,3.5,1.4,0.2,0
230382,2024-03-11 01:49:12.977333,6.7,2.5,5.8,1.8,2
230381,2024-03-11 01:49:11.963149,7.7,3.8,6.7,2.2,2
230380,2024-03-11 01:49:10.952927,4.7,3.2,1.6,0.2,0
230379,2024-03-11 01:49:09.942080,7.7,3.8,6.7,2.2,2
230378,2024-03-11 01:49:08.930669,6.0,2.9,4.5,1.5,1
230377,2024-03-11 01:49:07.919357,5.1,3.3,1.7,0.5,0
230376,2024-03-11 01:49:06.905253,4.9,3.1,1.5,0.1,0
230375,2024-03-11 01:49:05.890089,4.9,3.0,1.4,0.2,0
230374,2024-03-11 01:49:04.876449,6.2,3.4,5.4,2.3,2
230373,2024-03-11 01:49:03.860465,5.0,2.0,3.5,1.0,1
230372,2024-03-11 01:49:02.851688,5.2,3.5,1.5,0.2,0
230371,2024-03-11 01:49:01.838228,7.1,3.0,5.9,2.1,2
230370,2024-03-11 01:49:00.828111,7.7,2.6,6.9,2.3,2
230369,2024-03-11 01:48:59.819095,6.4,3.1,5.5,1.8,2
230368,2024-03-11 01:48:58.812669,5.9,3.0,4.2,1.5,1
230367,2024-03-11 01:48:57.801055,6.4,3.2,5.3,2.3,2
230366,2024-03-11 01:48:56.792566,5.1,2.5,3.0,1.1,1
230365,2024-03-11 01:48:55.780542,6.1,3.0,4.6,1.4,1
230364,2024-03-11 01:48:54.772136,6.5,3.0,5.8,2.2,2
230363,2024-03-11 01:48:53.764808,4.3,3.0,1.1,0.1,0
230362,2024-03-11 01:48:52.757506,6.3,3.4,5.6,2.4,2
230361,2024-03-11 01:48:51.747491,4.6,3.1,1.5,0.2,0
230360,2024-03-11 01:48:50.739105,6.7,3.3,5.7,2.5,2
230359,2024-03-11 01:48:49.730324,6.9,3.1,5.1,2.3,2
230358,2024-03-11 01:48:48.716904,5.5,2.3,4.0,1.3,1
230357,2024-03-11 01:48:47.705122,5.8,2.8,5.1,2.4,2
230356,2024-03-11 01:48:46.696847,7.7,3.8,6.7,2.2,2
230355,2024-03-11 01:48:45.687764,4.7,3.2,1.3,0.2,0
230354,2024-03-11 01:48:44.679079,5.0,3.6,1.4,0.2,0
230353,2024-03-11 01:48:43.669664,4.6,3.4,1.4,0.3,0
230352,2024-03-11 01:48:42.658721,5.4,3.0,4.5,1.5,1
230351,2024-03-11 01:48:41.648895,6.9,3.1,4.9,1.5,1
230350,2024-03-11 01:48:40.639442,5.4,3.9,1.3,0.4,0
230349,2024-03-11 01:48:39.630499,5.3,3.7,1.5,0.2,0
230348,2024-03-11 01:48:38.618319,5.0,3.3,1.4,0.2,0
230347,2024-03-11 01:48:37.603669,6.5,3.0,5.8,2.2,2
230346,2024-03-11 01:48:36.592761,5.4,3.9,1.3,0.4,0
230345,2024-03-11 01:48:35.584297,4.4,3.0,1.3,0.2,0
230344,2024-03-11 01:48:34.562403,5.5,2.4,3.8,1.1,1
230343,2024-03-11 01:48:33.546779,7.9,3.8,6.4,2.0,2
230342,2024-03-11 01:48:32.539275,5.0,2.0,3.5,1.0,1
230341,2024-03-11 01:48:31.529682,5.8,2.7,3.9,1.2,1
230340,2024-03-11 01:48:30.517649,5.7,2.5,5.0,2.0,2
230339,2024-03-11 01:48:29.506227,6.3,3.3,6.0,2.5,2
230338,2024-03-11 01:48:28.491723,5.6,2.9,3.6,1.3,1
230337,2024-03-11 01:48:27.477129,6.9,3.1,5.1,2.3,2
230336,2024-03-11 01:48:26.471937,6.8,3.0,5.5,2.1,2
230335,2024-03-11 01:48:25.467965,4.7,3.2,1.6,0.2,0
230334,2024-03-11 01:48:24.458748,6.0,2.7,5.1,1.6,1
230333,2024-03-11 01:48:23.451428,6.5,2.8,4.6,1.5,1
230332,2024-03-11 01:48:22.444813,5.7,2.9,4.2,1.3,1
230331,2024-03-11 01:48:21.436858,5.1,3.8,1.5,0.3,0
230330,2024-03-11 01:48:20.430888,5.7,2.9,4.2,1.3,1
230329,2024-03-11 01:48:19.424554,6.7,3.3,5.7,2.5,2
230328,2024-03-11 01:48:18.415064,6.5,3.0,5.2,2.0,2
230327,2024-03-11 01:48:17.405868,5.9,3.0,4.2,1.5,1
230326,2024-03-11 01:48:16.397164,4.8,3.1,1.6,0.2,0
230325,2024-03-11 01:48:15.387999,7.0,3.2,4.7,1.4,1
230324,2024-03-11 01:48:14.379151,5.9,3.0,4.2,1.5,1
230323,2024-03-11 01:48:13.375026,5.8,4.0,1.2,0.2,0
